City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Sambava,MG,77.29,moderate rain,-14.2667,50.1667,Melrose
3,Gamba,GA,82.04,scattered clouds,-2.65,10.0,
6,Obo,CF,92.88,overcast clouds,5.3998,26.4869,
7,Nueva Loja,EC,80.08,moderate rain,0.0847,-76.8828,Limoncocha Great Hotel
9,Rafaela,AR,71.01,broken clouds,-31.2503,-61.4867,Parra Hotel & Suites
10,Tumbes,PE,80.55,overcast clouds,-3.5667,-80.4414,Wyndham Costa del Sol Tumbes
11,Rikitea,PF,78.93,light rain,-23.1203,-134.9692,People ThankYou
12,Cape Town,ZA,76.12,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
15,Bontang,ID,77.04,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
16,Hilo,US,67.73,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
17,Manggar,ID,79.05,overcast clouds,-2.8833,108.2667,Guest Hotel
19,Bambous Virieux,MU,80.85,few clouds,-20.3428,57.7575,Casa Tia Villa
20,Touros,BR,86.9,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
21,Trairi,BR,84.0,overcast clouds,-3.2778,-39.2689,janelas do mar
22,Esperance,AU,66.04,overcast clouds,-33.8667,121.9,Hospitality Esperance
23,Ventersburg,ZA,83.05,overcast clouds,-28.0856,27.1381,Palms Guesthouse Ventersburg
24,Georgetown,MY,82.89,few clouds,5.4112,100.3354,Cititel Penang
25,Lakatoro,VU,79.57,overcast clouds,-16.0999,167.4164,Lakatoro Palm Lodge
29,Kapaa,US,67.98,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
30,Port Alfred,ZA,79.2,clear sky,-33.5906,26.891,The Halyards Hotel
37,Mahebourg,MU,80.89,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
40,Naifaru,MV,81.54,overcast clouds,5.4444,73.3657,Naifaru Residence Guest House
41,Wendo,ET,67.93,scattered clouds,6.6,38.4167,Bekure tseon hotal
43,Port Elizabeth,ZA,79.09,clear sky,-33.918,25.5701,39 On Nile Guest House
44,Mount Isa,AU,74.97,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
46,Vaini,TO,78.96,few clouds,-21.2,-175.2,Keleti Beach Resort
51,Saint-Philippe,RE,80.19,few clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
56,Santa Rita,BR,88.47,broken clouds,-7.1139,-34.9781,Infinity Motel
61,Souillac,MU,80.98,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
62,Atuona,PF,77.16,light rain,-9.8,-139.0333,Villa Enata
63,Hambantota,LK,77.34,scattered clouds,6.1241,81.1185,Bungalow 63
64,Tirumullaivasal,IN,79.0,overcast clouds,11.2333,79.8333,Almupaark complex
65,Tsiroanomandidy,MG,74.1,light rain,-18.7667,46.0333,Hotel Ravinala
79,Boa Vista,BR,87.78,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
81,Hermanus,ZA,75.9,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
83,Bengkulu,ID,77.18,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
84,Lebu,CL,69.71,clear sky,-37.6167,-73.65,Hostal Las Lilas
86,Chiang Klang,TH,70.88,broken clouds,19.2938,100.8617,Sangthong Resort
87,Kruisfontein,ZA,75.79,scattered clouds,-34.0033,24.7314,Oyster Bay House Rental
91,Avarua,CK,71.65,overcast clouds,-21.2078,-159.775,Paradise Inn
93,Dingle,PH,75.04,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
96,Constitucion,CL,73.0,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
98,Chiredzi,ZW,86.2,clear sky,-21.05,31.6667,Clevers Hotel Chiredzi
99,Namatanai,PG,78.15,moderate rain,-3.6667,152.4333,Seagulls Inn Namatani
100,Butaritari,KI,81.86,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
101,Sur,OM,71.28,clear sky,22.5667,59.5289,Sur Plaza Hotel
102,Amapa,BR,82.6,overcast clouds,1.0,-52.0,
104,Sao Filipe,CV,80.46,overcast clouds,14.8961,-24.4956,Hotel Xaguate
105,Acapulco,MX,78.62,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
110,Taltal,CL,71.6,clear sky,-25.4,-70.4833,Residencial Karime
112,Aguimes,ES,69.66,few clouds,27.9054,-15.4461,Hotel Villa de Aguimes
113,Carnarvon,AU,82.47,clear sky,-24.8667,113.6333,Hospitality Carnarvon
116,Lorengau,PG,80.71,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
117,Mahibadhoo,MV,81.07,overcast clouds,3.7833,72.9667,Omadhoo Inn
119,Saldanha,ZA,71.65,overcast clouds,-33.0117,17.9442,Blue Bay Lodge
123,Ahipara,NZ,68.61,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
124,Ahuimanu,US,71.85,few clouds,21.4447,-157.8378,Paradise Bay Resort
125,Mahajanga,MG,84.22,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
127,Takoradi,GH,84.4,overcast clouds,4.8845,-1.7554,Raybow International Hotel
130,Alto Araguaia,BR,83.66,few clouds,-17.3147,-53.2153,Araguaia Palace Hotel
137,Castro,BR,78.24,clear sky,-24.7911,-50.0119,CHACARA BAILLY
140,Arawa,PG,75.88,overcast clouds,-6.2132,155.5367,Coastline Guest House
141,Flinders,AU,67.8,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
142,Olinda,BR,87.53,scattered clouds,-8.0089,-34.8553,Pousada Sitio Do Carmo
146,Port Lincoln,AU,68.4,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
147,Richards Bay,ZA,79.81,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
149,Cidreira,BR,79.41,clear sky,-30.1811,-50.2056,Hotel Castelo
151,Kankon,IN,80.4,clear sky,15.0167,74.0167,Palolem Beach Resort
154,Pisco,PE,72.01,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
155,Bredasdorp,ZA,74.52,scattered clouds,-34.5322,20.0403,Bredasdorp Country Manor
158,Salinopolis,BR,83.48,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
160,Ghugus,IN,68.83,broken clouds,19.9333,79.1333,Rajiv Colony Tempo Club
162,Likasi,CD,68.05,light rain,-10.9814,26.7333,TABERNACLE DE LIKASI
164,Kavaratti,IN,80.89,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
169,Chuy,UY,75.99,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
172,Aquidauana,BR,96.89,few clouds,-20.4711,-55.7872,HOTEL ARARAS
174,Kaeo,NZ,71.33,overcast clouds,-35.1,173.7833,Bushido Lodge
176,Cabo San Lucas,MX,69.51,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
177,Imbituba,BR,84.09,clear sky,-28.24,-48.6703,Praia Hotel Imbituba
178,Arraial Do Cabo,BR,80.46,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
179,Geraldton,AU,72.01,clear sky,-28.7667,114.6,Broadwater Mariner Resort
181,Ponta Do Sol,PT,67.12,few clouds,32.6667,-17.1,Hotel do Campo
182,Malkangiri,IN,68.02,scattered clouds,18.35,81.9,Motu Nana
184,Cap Malheureux,MU,81.09,broken clouds,-19.9842,57.6142,Pereybere Hotel & Spa
187,Tautira,PF,75.22,overcast clouds,-17.7333,-149.15,Pension Oaoa
189,Victoria,HK,68.18,broken clouds,22.2855,114.1577,Mini Hotel Central
190,Alofi,NU,75.09,few clouds,-19.0595,-169.9187,Taloa Heights
191,Soyo,AO,86.05,broken clouds,-6.1349,12.3689,Hotel Mpampa
192,Puerto Ayora,EC,78.76,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
193,Aripuana,BR,77.7,overcast clouds,-9.1667,-60.6333,
195,Thio,NC,75.16,overcast clouds,-21.6167,166.2167,La Ferme de Thio
196,Nouadhibou,MR,82.38,overcast clouds,20.931,-17.0347,El Medina
197,Shakawe,BW,80.11,broken clouds,-18.3667,21.85,Ditlhapi Guest House
199,Isangel,VU,79.38,broken clouds,-19.55,169.2667,Tanna Lodge
200,Meulaboh,ID,78.26,broken clouds,4.1363,96.1285,Kost Pria
201,Faridpur,BD,68.0,clear sky,23.6,89.8333,Progoti Muslim hostel
203,Tecate,MX,70.2,clear sky,32.5667,-116.6333,Hotel El Dorado
204,Nhulunbuy,AU,79.41,clear sky,-12.2333,136.7667,East Arnhem Real Estate
205,Waingapu,ID,77.11,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
212,Coahuayana,MX,72.88,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
215,Sinnamary,GF,79.86,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
218,Ancud,CL,75.22,broken clouds,-41.8697,-73.8203,Hotel Arena Gruesa
220,Faanui,PF,79.61,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
221,Joaquim Nabuco,BR,94.33,scattered clouds,-8.6244,-35.5333,Baia Beira Rio
222,Maldonado,UY,67.39,overcast clouds,-34.6667,-54.9167,La Cimarrona
223,Leo,BF,96.62,scattered clouds,11.1,-2.1,Hotel Sissilis
225,Pak Phanang,TH,83.07,overcast clouds,8.3511,100.202,Green Park Inn Hotel
226,Abomsa,ET,75.38,clear sky,9.9833,39.9833,
228,Nelson Bay,AU,72.0,broken clouds,-32.7167,152.15,Mantra Nelson Bay
233,Moussoro,TD,88.38,overcast clouds,13.6408,16.4901,Hôtel Salama
234,Port-Gentil,GA,87.76,scattered clouds,-0.7193,8.7815,Fengshui Residence
235,Tolaga Bay,NZ,77.41,broken clouds,-38.3667,178.3,Tolaga Bay Motel
238,Plettenberg Bay,ZA,73.49,overcast clouds,-34.0527,23.3716,Thanda Vista B&B
242,Weligama,LK,76.84,overcast clouds,5.9667,80.4167,Weligama Bay Resort
243,Bandarbeyla,SO,76.96,scattered clouds,9.4942,50.8122,JABIR HOTEL
245,Gizo,SB,79.38,overcast clouds,-8.103,156.8419,Imagination Island
246,Hithadhoo,MV,81.88,broken clouds,-0.6,73.0833,Scoop Guest House
249,Vila Velha,BR,82.35,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
251,Contamana,PE,88.83,light rain,-7.3333,-75.0167,Shiringal Touristic Park
252,Mbigou,GA,76.95,moderate rain,-1.9005,11.906,
255,Pemba,MZ,83.1,thunderstorm,-12.974,40.5178,Guesthouse Samotina
256,Atar,MR,80.65,few clouds,20.5169,-13.0499,Oumou Elghoura
257,Xuddur,SO,82.62,few clouds,4.1213,43.8894,Banjanay Hotel
258,Kokopo,PG,76.37,overcast clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
259,Makasar,ID,75.25,few clouds,-5.14,119.4221,Hotel Horison Ultima Makassar
261,Coihaique,CL,68.61,clear sky,-45.5752,-72.0662,Diego De Almagro Coyhaique
