City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Sambava,MG,-14.2667,50.1667,77.29,85,32,7.9,moderate rain
1,Hobart,AU,-42.8794,147.3294,57.06,71,92,9.22,overcast clouds
2,Chara,RU,56.9064,118.2631,-19.5,96,100,0.78,overcast clouds
3,Gamba,GA,-2.65,10.0,82.04,75,50,10.6,scattered clouds
4,Iqaluit,CA,63.7506,-68.5145,-24.07,62,20,2.3,few clouds
5,Preeceville,CA,51.95,-102.6677,-6.45,96,92,7.52,overcast clouds
6,Obo,CF,5.3998,26.4869,92.88,18,87,6.06,overcast clouds
7,Nueva Loja,EC,0.0847,-76.8828,80.08,78,0,2.3,moderate rain
8,Leh,IN,34.1667,77.5833,2.07,64,100,2.04,overcast clouds
9,Rafaela,AR,-31.2503,-61.4867,71.01,54,82,14.52,broken clouds
10,Tumbes,PE,-3.5667,-80.4414,80.55,57,100,5.75,overcast clouds
11,Rikitea,PF,-23.1203,-134.9692,78.93,71,48,15.88,light rain
12,Cape Town,ZA,-33.9258,18.4232,76.12,66,0,13.8,clear sky
13,Ushuaia,AR,-54.8,-68.3,49.62,61,75,40.29,light intensity drizzle
14,Kodiak,US,57.79,-152.4072,38.71,65,40,14.97,scattered clouds
15,Bontang,ID,0.1333,117.5,77.04,91,100,7.99,overcast clouds
16,Hilo,US,19.7297,-155.09,67.73,85,100,0.0,overcast clouds
17,Manggar,ID,-2.8833,108.2667,79.05,86,98,7.09,overcast clouds
18,Busselton,AU,-33.65,115.3333,58.08,68,0,14.65,clear sky
19,Bambous Virieux,MU,-20.3428,57.7575,80.85,74,20,3.44,few clouds
20,Touros,BR,-5.1989,-35.4608,86.9,61,38,10.8,scattered clouds
21,Trairi,BR,-3.2778,-39.2689,84.0,66,91,8.57,overcast clouds
22,Esperance,AU,-33.8667,121.9,66.04,71,99,14.54,overcast clouds
23,Ventersburg,ZA,-28.0856,27.1381,83.05,30,92,2.93,overcast clouds
24,Georgetown,MY,5.4112,100.3354,82.89,83,20,2.3,few clouds
25,Lakatoro,VU,-16.0999,167.4164,79.57,84,100,0.34,overcast clouds
26,Barrow,US,71.2906,-156.7887,-30.98,100,0,8.05,clear sky
27,Ribeira Grande,PT,38.5167,-28.7,63.0,82,40,20.71,scattered clouds
28,Okhotsk,RU,59.3833,143.3,-13.86,83,10,8.79,clear sky
29,Kapaa,US,22.0752,-159.319,67.98,94,40,3.44,scattered clouds
30,Port Alfred,ZA,-33.5906,26.891,79.2,83,8,18.43,clear sky
31,Talnakh,RU,69.4865,88.3972,-9.0,79,44,9.98,scattered clouds
32,Cherskiy,RU,68.75,161.3,-24.21,98,100,8.68,overcast clouds
33,Yellowknife,CA,62.456,-114.3525,-27.58,88,0,5.75,clear sky
34,Provideniya,RU,64.3833,-173.3,-12.15,83,2,6.17,clear sky
35,Kizukuri,JP,40.8061,140.3861,35.11,51,80,8.77,broken clouds
36,Skjervoy,NO,70.0311,20.9714,30.29,65,100,18.01,light snow
37,Mahebourg,MU,-20.4081,57.7,80.89,74,20,3.44,few clouds
38,Gornopravdinsk,RU,60.05,69.9,3.13,92,85,9.48,overcast clouds
39,Tazovskiy,RU,67.4667,78.7,-7.89,91,6,11.81,clear sky
40,Naifaru,MV,5.4444,73.3657,81.54,73,100,13.02,overcast clouds
41,Wendo,ET,6.6,38.4167,67.93,36,49,3.33,scattered clouds
42,Fairbanks,US,64.8378,-147.7164,-3.91,81,100,4.61,overcast clouds
43,Port Elizabeth,ZA,-33.918,25.5701,79.09,78,0,21.85,clear sky
44,Mount Isa,AU,-20.7333,139.5,74.97,78,40,10.36,scattered clouds
45,Udayagiri,IN,20.1333,84.3833,57.61,26,32,3.51,scattered clouds
46,Vaini,TO,-21.2,-175.2,78.96,94,20,4.61,few clouds
47,Khatanga,RU,71.9667,102.5,-13.27,86,94,7.96,overcast clouds
48,Severo-Kurilsk,RU,50.6789,156.125,18.63,79,77,3.31,broken clouds
49,Punta Arenas,CL,-53.15,-70.9167,57.31,47,40,36.82,scattered clouds
50,Klaksvik,FO,62.2266,-6.589,41.92,83,100,11.95,overcast clouds
51,Saint-Philippe,RE,-21.3585,55.7679,80.19,77,18,6.87,few clouds
52,Bluff,NZ,-46.6,168.3333,51.8,65,75,14.34,broken clouds
53,Saint Anthony,US,45.0205,-93.218,-1.21,70,0,6.91,clear sky
54,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,1.99,66,0,4.47,clear sky
55,Belyy Yar,RU,53.6039,91.3903,-20.31,56,25,0.0,smoke
56,Santa Rita,BR,-7.1139,-34.9781,88.47,62,75,11.5,broken clouds
57,Mount Gambier,AU,-37.8333,140.7667,60.71,82,75,4.61,broken clouds
58,Longyearbyen,SJ,78.2186,15.6401,12.04,73,0,14.97,clear sky
59,Kaitangata,NZ,-46.2817,169.8464,51.93,72,100,9.4,overcast clouds
60,Jamestown,US,42.097,-79.2353,29.3,51,100,12.66,overcast clouds
61,Souillac,MU,-20.5167,57.5167,80.98,74,20,3.44,few clouds
62,Atuona,PF,-9.8,-139.0333,77.16,79,10,13.69,light rain
63,Hambantota,LK,6.1241,81.1185,77.34,100,40,3.44,scattered clouds
64,Tirumullaivasal,IN,11.2333,79.8333,79.0,69,98,15.66,overcast clouds
65,Tsiroanomandidy,MG,-18.7667,46.0333,74.1,79,88,2.59,light rain
66,Thompson,CA,55.7435,-97.8558,-21.84,76,0,3.44,clear sky
67,Leningradskiy,RU,69.3833,178.4167,-21.87,98,98,4.29,overcast clouds
68,Mataura,NZ,-46.1927,168.8643,51.48,91,100,3.15,overcast clouds
69,Port Hardy,CA,50.6996,-127.4199,37.76,100,100,5.75,mist
70,Upernavik,GL,72.7868,-56.1549,-4.83,98,100,13.89,overcast clouds
71,Pitea,SE,65.3172,21.4794,17.1,99,25,1.63,scattered clouds
72,Fortuna,US,40.5982,-124.1573,47.32,76,0,10.36,clear sky
73,Katsuura,JP,35.1333,140.3,42.91,56,100,3.22,overcast clouds
74,Myaundzha,RU,63.0494,147.1858,-36.74,99,34,2.91,scattered clouds
75,Nikolskoye,RU,59.7035,30.7861,34.88,95,100,12.3,light snow
76,Vila Franca Do Campo,PT,37.7167,-25.4333,61.21,68,96,11.32,overcast clouds
77,Ulaanbaatar,MN,47.9077,106.8832,-21.87,76,0,4.47,clear sky
78,Amurzet,RU,47.6967,131.0981,4.24,88,95,8.25,overcast clouds
79,Boa Vista,BR,2.8197,-60.6733,87.78,45,75,14.97,broken clouds
80,Ilulissat,GL,69.2167,-51.1,33.82,47,75,11.5,broken clouds
81,Hermanus,ZA,-34.4187,19.2345,75.9,81,96,6.87,overcast clouds
82,Dikson,RU,73.5069,80.5464,0.32,75,100,28.16,overcast clouds
83,Bengkulu,ID,-3.8004,102.2655,77.18,86,100,4.79,overcast clouds
84,Lebu,CL,-37.6167,-73.65,69.71,53,5,12.46,clear sky
85,Marivan,IR,35.5219,46.176,27.46,82,32,8.5,scattered clouds
86,Chiang Klang,TH,19.2938,100.8617,70.88,51,70,1.45,broken clouds
87,Kruisfontein,ZA,-34.0033,24.7314,75.79,78,33,14.7,scattered clouds
88,Hasaki,JP,35.7333,140.8333,30.6,58,34,6.78,scattered clouds
89,Albany,US,42.6001,-73.9662,48.31,64,99,3.0,overcast clouds
90,Taunggyi,MM,20.7833,97.0333,49.39,47,5,1.36,clear sky
91,Avarua,CK,-21.2078,-159.775,71.65,100,92,1.14,overcast clouds
92,Colquechaca,BO,-18.6667,-66.0167,41.94,63,98,5.59,overcast clouds
93,Dingle,PH,10.9995,122.6711,75.04,91,91,8.68,overcast clouds
94,Sangar,RU,63.9242,127.4739,-22.61,99,100,2.46,overcast clouds
95,Bend,US,44.0582,-121.3153,28.36,84,0,3.44,clear sky
96,Constitucion,CL,-35.3333,-72.4167,73.0,48,1,7.31,clear sky
97,Uddevalla,SE,58.3478,11.9424,40.06,84,100,10.0,light rain
98,Chiredzi,ZW,-21.05,31.6667,86.2,30,7,8.23,clear sky
99,Namatanai,PG,-3.6667,152.4333,78.15,82,100,4.54,moderate rain
100,Butaritari,KI,3.0707,172.7902,81.86,77,46,17.2,scattered clouds
101,Sur,OM,22.5667,59.5289,71.28,59,1,7.85,clear sky
102,Amapa,BR,1.0,-52.0,82.6,73,97,4.97,overcast clouds
103,Nome,US,64.5011,-165.4064,1.47,55,100,4.61,overcast clouds
104,Sao Filipe,CV,14.8961,-24.4956,80.46,43,89,18.45,overcast clouds
105,Acapulco,MX,16.8634,-99.8901,78.62,69,100,0.0,overcast clouds
106,Bethel,US,41.3712,-73.414,56.84,53,20,8.05,few clouds
107,Xiongzhou,CN,25.1167,114.3,51.89,91,100,4.07,light rain
108,Sioux Lookout,CA,50.1001,-91.917,-23.42,75,75,4.61,broken clouds
109,Palana,RU,59.1167,159.9667,-11.9,96,34,4.03,scattered clouds
110,Taltal,CL,-25.4,-70.4833,71.6,69,3,7.25,clear sky
111,Lata,PT,40.1629,-8.3327,61.07,67,100,5.91,overcast clouds
112,Aguimes,ES,27.9054,-15.4461,69.66,60,20,27.63,few clouds
113,Carnarvon,AU,-24.8667,113.6333,82.47,69,7,12.66,clear sky
114,Hofn,IS,64.2539,-15.2082,27.09,68,94,20.29,overcast clouds
115,Saskylakh,RU,71.9167,114.0833,0.66,77,34,13.49,scattered clouds
116,Lorengau,PG,-2.0226,147.2712,80.71,75,94,3.58,overcast clouds
117,Mahibadhoo,MV,3.7833,72.9667,81.07,73,86,4.85,overcast clouds
118,Cehegin,ES,38.0924,-1.7985,58.71,39,8,8.32,clear sky
119,Saldanha,ZA,-33.0117,17.9442,71.65,90,100,17.36,overcast clouds
120,Christchurch,NZ,-43.5333,172.6333,52.0,91,100,17.27,moderate rain
121,Pangnirtung,CA,66.1451,-65.7125,-2.2,84,100,9.22,light snow
122,Clemson,US,34.6834,-82.8374,63.27,53,0,3.44,clear sky
123,Ahipara,NZ,-35.1667,173.1667,68.61,86,96,28.86,overcast clouds
124,Ahuimanu,US,21.4447,-157.8378,71.85,84,20,6.91,few clouds
125,Mahajanga,MG,-15.7167,46.3167,84.22,74,20,13.8,few clouds
126,Oparino,RU,59.8518,48.2783,22.5,94,100,7.47,overcast clouds
127,Takoradi,GH,4.8845,-1.7554,84.4,67,93,12.08,overcast clouds
128,Paamiut,GL,61.994,-49.6678,21.76,95,100,12.19,snow
129,Launceston,AU,-41.45,147.1667,53.24,76,62,0.0,broken clouds
130,Alto Araguaia,BR,-17.3147,-53.2153,83.66,63,16,2.53,few clouds
131,Opportunity,US,47.6499,-117.2399,27.34,88,0,0.0,clear sky
132,Tuatapere,NZ,-46.1333,167.6833,51.82,75,96,9.66,overcast clouds
133,Madison,US,34.7334,-86.5667,54.77,68,75,13.0,broken clouds
134,Broome,US,42.2506,-75.833,45.18,65,20,19.57,few clouds
135,Nagornyy,RU,52.7959,83.5498,4.35,100,40,3.91,scattered clouds
136,Sitka,US,57.0531,-135.33,42.69,81,100,10.36,moderate rain
137,Castro,BR,-24.7911,-50.0119,78.24,47,0,3.98,clear sky
138,Deputatskiy,RU,69.3,139.9,-12.26,92,100,6.22,overcast clouds
139,Nyurba,RU,63.2842,118.3319,-22.09,100,100,2.84,overcast clouds
140,Arawa,PG,-6.2132,155.5367,75.88,82,91,2.44,overcast clouds
141,Flinders,AU,-34.5833,150.8552,67.8,92,96,4.0,overcast clouds
142,Olinda,BR,-8.0089,-34.8553,87.53,66,40,10.36,scattered clouds
143,Maykor,RU,59.0059,55.88,19.36,97,99,4.45,overcast clouds
144,Tuktoyaktuk,CA,69.4541,-133.0374,-29.2,75,0,8.05,clear sky
145,Tateyama,JP,34.9833,139.8667,42.82,56,99,2.33,overcast clouds
